s,DDR3_A5_U5.P2_NoTerm,DDR3_A5_U4.P2_NoTerm,DDR3_A5_U2.K5_NoTerm
6.32498098340761E-9,0.23762746155262,0.237653091549873,0.22540956735611
6.36354791083704E-9,0.231790110468864,0.231755986809731,0.222702652215958
6.40211483826647E-9,0.22926963865757,0.229189231991768,0.219995737075806
6.4406817656959E-9,0.232060566544533,0.23196379840374,0.225813418626785
6.47924869312533E-9,0.239336669445038,0.239259377121925,0.231631100177765
6.51781562055476E-9,0.248514235019684,0.248483940958977,0.237331569194794
6.55638254798419E-9,0.256933212280273,0.256960421800613,0.243032023310661
6.59494991950282E-9,0.261514335870743,0.26158818602562,0.242698416113853
6.63351684693225E-9,0.261378109455109,0.261470884084702,0.242364808917046
6.67208377436168E-9,0.256815850734711,0.256893694400787,0.238619044423103
6.71065070179111E-9,0.249490678310394,0.249525472521782,0.234873279929161
6.74921762922054E-9,0.242137551307678,0.24211785197258,0.233874291181564
6.78778455664997E-9,0.23662918806076,0.236563414335251,0.232875287532806
6.8263514840794E-9,0.234620496630669,0.234533756971359,0.236221194267273
6.86491841150882E-9,0.236038103699684,0.23596265912056,0.23956710100174
6.90348533893825E-9,0.239789456129074,0.239752322435379,0.243205696344376
6.94205226636768E-9,0.244325861334801,0.244339659810066,0.246844306588173
6.98061919379711E-9,0.247606173157692,0.247664287686348,0.246892586350441
7.01918612122654E-9,0.248703747987747,0.248783558607101,0.246940866112709
7.05775304865597E-9,0.247208550572395,0.247280269861221,0.24421364068985
7.0963199760854E-9,0.243786707520485,0.243824124336243,0.241486400365829
7.13488690351483E-9,0.23983196914196,0.239822492003441,0.239722073078156
7.17345427503346E-9,0.236507833003998,0.236456319689751,0.237957715988159
7.21202120246289E-9,0.235016420483589,0.234943091869354,0.2389757335186
7.25058812989232E-9,0.235555559396744,0.235488086938858,0.239993765950203
7.28915505732175E-9,0.237762778997421,0.237725675106049,0.241974517703056
7.32772198475118E-9,0.240815237164497,0.240821242332458,0.24395526945591
7.36628891218061E-9,0.243494778871536,0.243540152907372,0.244286522269249
7.40485583961004E-9,0.245098829269409,0.245165571570396,0.244617775082588
7.44342276703946E-9,0.245120272040367,0.245183080434799,0.243122652173042
7.4819901385581E-9,0.243766993284225,0.243802785873413,0.241627514362335
7.52055662189832E-9,0.241696253418922,0.24169285595417,0.240318641066551
7.55912399341696E-9,0.239609658718109,0.239569649100304,0.239009723067284
7.59769047675718E-9,0.238340079784393,0.238279551267624,0.239328518509865
7.63625784827582E-9,0.238167449831963,0.238109514117241,0.239647313952446
7.67482433161604E-9,0.239090397953987,0.239056333899498,0.240888297557831
7.71339170313468E-9,0.240720525383949,0.240722119808197,0.242129310965538
7.75195818647489E-9,0.242383554577827,0.242418870329857,0.242660582065582
7.79052555799353E-9,0.243604123592377,0.243658885359764,0.243191853165627
7.82909204133375E-9,0.243950620293617,0.24400383234024,0.242528676986694
7.86765941285239E-9,0.243431642651558,0.24346362054348,0.241865485906601
7.90622589619261E-9,0.24231518805027,0.242314919829369,0.241016283631325
7.94479326771125E-9,0.240992993116379,0.240961745381355,0.240167066454887
7.98335975105147E-9,0.239989712834358,0.239940270781517,0.240169495344162
8.0219271225701E-9,0.239552468061447,0.239503860473633,0.240171939134598
8.06049449408874E-9,0.239803895354271,0.239774122834206,0.24087293446064
8.09906097742896E-9,0.24058635532856,0.240585789084435,0.241573914885521
8.1376283489476E-9,0.241553530097008,0.241581231355667,0.242031931877136
8.17619483228782E-9,0.242403998970985,0.2424486130476,0.242489948868752
8.21476220380646E-9,0.242815792560577,0.242860063910484,0.242221906781197
8.25332868714668E-9,0.242722600698471,0.242750063538551,0.241953879594803
8.29189605866532E-9,0.24219785630703,0.242198958992958,0.24141289293766
8.33046254200553E-9,0.241442814469337,0.2414181381464,0.240871921181679
